,ens_1,ens_2,ens_3,ens_4,ens_5,ens_6,ens_7,ens_8,ens_9,ens_10
2025-07-17,3341748.305003564,3321258.4540035627,3366867.7105035554,3181162.6950035607,3308205.6195035577,3388999.5975035583,3388999.5975035583,3149532.0905035627,3197094.9625035627,3181948.243003559
2025-07-18,3386229.9291045195,3554652.2126045246,3338276.32410452,3381388.328604512,3386188.9366045166,3457888.7561045177,3500341.6251045186,3329989.970604522,3464015.440104516,3258222.778104516
2025-07-19,3370413.140224657,3393309.3922246573,3166847.905224656,3276183.0837246557,3246138.9692246616,3120531.8042246583,3316572.6542246556,3188900.3357246555,3643616.1327246563,3087088.749724661
2025-07-20,3243333.0872173305,3682995.2467173296,3229738.949717329,3353475.2137173284,3405565.9702173234,3292621.083217333,3443203.5637173336,3494744.366217329,3324738.029717329,3279050.381217333
2025-07-21,3312260.3997699977,3155620.009770001,3271086.5342700006,3335175.379769999,3301235.203269999,3320274.6462699976,3417631.8742700005,3021658.254769999,3322773.768269995,3335175.379769999
2025-07-22,3414863.5321993884,3246140.884699388,3275882.8466993817,3369255.553199378,3242223.363199386,3281652.523199388,3007137.2101993836,3429102.713199385,3375252.7841993803,3213123.1961993845
2025-07-23,3411760.1410747957,3259865.0750747933,3259204.2705747937,3184747.550074795,3312801.9105747915,3395763.5810747948,3329495.716074793,3537753.9800747912,3386297.7265747963,3334267.6590747917
2025-07-24,3259746.4269116395,3213350.3559116432,3052516.435411639,3231238.3209116417,3006295.738411641,3173980.952411645,3149605.536911639,3261265.7784116394,3103046.9974116455,3318424.519911639
2025-07-25,3009049.2463591755,3316368.933859175,3033096.2898591766,3316368.933859175,3400174.608859177,3383426.3023591726,3193168.376859174,3269979.196359169,3160820.2618591725,3269979.196359169
2025-07-26,3230465.2467467044,3355979.9897467094,3273756.341246708,3186297.461746715,2965445.308246713,3231982.42674671,3445708.3397467146,3448843.195746716,3325960.517246715,3256636.0512467083
2025-07-27,3314734.9084065687,3322515.246906575,3156061.3794065737,3039647.5049065733,3314357.3689065753,3322515.246906575,3486845.7049065754,3531919.3769065663,3348727.206906573,3324036.7584065762
2025-07-28,3369947.334774237,3036197.840274244,3264713.7167742457,3175514.2057742467,3148229.997274244,3198431.352274248,3102186.6047742385,3267677.4932742477,3320587.093774247,3435549.642774243
2025-07-29,3132462.828699996,3168389.5071999948,3333399.282199998,3464802.8736999948,3132462.828699996,3115134.745699997,3120677.400199993,3036883.1021999954,3265346.7261999957,3426173.758199992
2025-07-30,3171785.6230084915,3325541.901508488,3102935.861008488,3171409.6030084873,3483421.8905084957,3172782.368508492,3333561.8995084953,3126432.9675084925,3248266.1535084895,3090675.211008494
2025-07-31,3061517.555081371,3378499.6570813665,3157861.389081368,3065479.0035813726,3025860.9820813704,2991357.2630813704,3238265.230581364,3172754.0480813715,3135785.711081369,3142443.5620813677
2025-08-01,3150359.878058764,3156513.3300587623,3107646.278058764,3116563.2720587607,3173696.809058762,3227786.4390587634,3261100.3195587634,2979404.8810587614,3228785.601558763,3097675.8940587607
2025-08-02,3059903.690192051,3039429.4076920575,2968161.524692049,3147846.48669205,2980879.02669205,2826276.9491920522,3347947.174192053,3015923.0736920536,3010368.426192051,3117138.470692051
2025-08-03,3162980.7140325345,3022159.152032534,3130553.28953253,3283384.6680325367,3207638.1765325363,3329666.2860325333,3264484.9695325317,3222433.1620325334,3240291.4895325354,3198344.6625325354
2025-08-04,3003891.716012048,2988174.602512053,3155737.038512057,3256453.372512051,3091681.423012049,2773825.575512053,2982061.1820120513,3212292.7045120467,3007765.706512051,3123064.399012048
2025-08-05,3087974.2722399374,3040727.9642399335,3060345.311239935,3070222.742239937,3245943.3082399364,3069368.4037399366,3219989.9847399397,3072456.2397399372,2989050.1532399356,2979836.1662399424
2025-08-06,3064573.0318382164,3128956.0058382186,2994127.021338224,3202794.8698382257,3010224.2393382234,3000612.6498382213,3209402.9593382166,3125296.3503382285,3002190.257838226,3156912.38333822
2025-08-07,3344275.8937760945,3035295.4312760956,3013495.5662760986,3297698.542276093,3196016.5702760974,2886789.5772760967,2999937.8402760997,3202367.2387760966,2957133.4997760984,2937204.5707760947
2025-08-08,3122815.713009584,3161755.465509584,3110239.011009589,3170670.41900958,3243842.3795095836,3274044.6685095876,3052524.267509585,2736531.799509586,2932530.554009581,3155664.5915095797
2025-08-09,3282317.9481043066,3122854.5866043116,3141624.27260431,3035693.449104315,3185275.905104314,3278849.7341043116,3184345.1351043102,3126209.7616043095,3211182.294104313,3067431.819104313
2025-08-10,3176336.344821638,3108281.730821637,2887616.912321637,3076369.1863216367,3068502.552821639,2976596.3748216387,2992987.555821642,2982130.516321635,2949981.053321639,3070964.870321635
2025-08-11,2982503.840527875,3047218.955527875,3134856.2465278683,2886983.6375278784,3138350.1280278726,3276207.009527877,3180841.082027877,3124574.5315278727,3136435.0060278736,3406183.3415278792
2025-08-12,2925316.1199512263,3150956.284951222,2894341.870951229,3141992.3769512293,3034634.6934512234,3036386.7569512273,3003190.9509512293,3081252.341951229,3068227.812451223,2843944.408951229
2025-08-13,3326719.3735191794,3084231.1300191744,3118729.384019175,3264617.374519168,3142758.3300191746,2846456.342019178,3091461.755519172,3082280.510519177,2938309.5140191736,3283498.0455191764
2025-08-14,2811273.6638077996,2857004.618807797,2916038.8968078024,2930469.508307799,2815568.368807799,3125170.5028077983,2982884.4558078023,3081283.422807801,3028745.8888077987,2940054.9908078006
2025-08-15,3139942.168894652,2717296.6833946514,2929145.9308946524,3145593.2308946494,3189769.6368946494,3182248.187394649,3173189.1188946464,3220252.762394652,3148519.326394653,3064521.4643946504
2025-08-16,3074193.9955120506,3084847.0360120535,2977542.4030120485,3225628.6905120467,3320949.204512057,2942672.9435120523,2783003.2525120554,2936800.177512049,3091314.28551205,3093387.6435120516
2025-08-17,3198548.1249840353,3260239.9724840345,3048252.119484039,3185475.3064840348,3325022.0929840356,3001240.056484041,3075663.197984037,3215775.57448404,3068741.0569840367,2927694.404484039
2025-08-18,3202600.2194493115,2936728.0314493096,3155976.0059493156,2984020.593449317,3292678.99194931,3181595.512949316,3429899.070949311,3029651.386449315,3062208.0879493114,3097776.361449308
2025-08-19,3046627.981963493,3301138.1569634904,2779362.7679634923,3221271.4699634924,3105540.737463495,3078909.9294634946,3042768.135463494,3151819.484963493,2790932.449463491,3080758.4814634915
2025-08-20,3060693.717541093,3064656.1240410954,2975721.1850410895,2996296.890041092,2885305.9665410887,3092575.7655410916,2881221.9475410962,3026717.3635410997,2895548.034541095,2873315.610041096
2025-08-21,3099003.5343054747,3260023.905305474,2970884.576305482,3198332.057805475,3043001.1168054785,3079873.8943054783,2957391.6263054754,3104479.7443054775,3135818.4023054796,3311503.2258054754
2025-08-22,3049553.8570862934,2692330.959586298,3163140.0740862954,3049553.8570862934,2909223.358086301,2992868.486586301,3098321.733586298,3051356.8070862927,2965297.124086304,2899004.401086299
2025-08-23,3130199.632671577,2751471.633671575,3102645.631171574,3063882.813171579,3039331.8216715767,2914612.566671581,3000125.9221715815,3109860.8391715745,2994356.2456715754,3037252.101671577
2025-08-24,3092428.2934676697,3170874.564467668,3008405.5989676714,2998567.276967674,3030236.132967668,3089711.3394676694,3140476.206467669,3209921.0949676693,3113642.2194676697,3222904.6319676726
2025-08-25,2765177.829055477,3165730.1950554755,2989803.416555472,3194045.773555471,3142545.3745554737,3111085.137555477,3032534.3045554804,3008854.188055476,3091566.254055476,3089105.1905554743
2025-08-26,3134818.5518778046,3143047.4793778104,3213855.4803778077,3204080.0533778034,3137142.5833778107,3063997.7358778063,2993066.40637781,3228071.2418778036,3062839.288877806,2825381.192377806
2025-08-27,3104270.9254421885,3059216.5789421904,3086068.2074421966,3062599.4614421907,3083068.1269421945,2753851.7949421913,3144827.3324421914,2964645.6344421874,3197811.8304421855,2968265.4244421893
2025-08-28,3095502.0272835586,3100783.303283561,3054674.9627835583,3217795.559283556,2963911.2017835584,2994786.131283565,3139256.779783561,3306736.802783566,3080029.5802835613,2948370.11828356
2025-08-29,3218731.8987313705,2839644.868731367,3144587.2112313593,2994868.683231369,3118677.332231367,2974056.967731373,3162459.1207313645,3127788.3962313686,3218448.8112313724,3057403.634731365
2025-08-30,2997217.468303976,3094663.624803976,3031907.1248039743,2997729.685803973,3184127.9393039765,3004176.9423039733,3096036.336303978,3077214.171303975,3068239.5908039673,3071777.690803973
2025-08-31,3086748.227749792,3215314.522749793,2952424.0817497917,3262759.5127497977,3107967.730249784,3169574.5137497913,3217828.7542497884,3318377.559249789,3169896.306749791,3122379.27424979
2025-09-01,3018997.385756991,3048519.96925699,3044896.0417569876,3133974.7132569887,3134462.0022569867,3194526.0197569844,2767632.20175699,2992276.991756994,3134269.702256985,3276341.1607569903
2025-09-02,3180082.4664373323,3109980.8414373305,2963289.342437329,3063902.604937328,3033831.9844373297,3008107.0529373297,3173444.8404373326,3045720.8739373293,3125005.9199373326,3113567.327937339
2025-09-03,2741505.484515073,3175644.1040150668,3106530.0175150745,3029638.0535150724,3137973.7600150686,3150226.121015073,3072499.09401507,2850038.3340150733,3081537.487015072,3299802.721015076
2025-09-04,2980023.2327439063,3317149.186243904,3136377.247743902,3013882.049743906,2994625.1022439073,2866874.9697439033,3055410.9917439045,3076536.095243902,3216198.9047438987,2939142.2772439006
2025-09-05,3197859.7169454857,3210261.595445479,3111312.7554454827,3142663.9329454806,3262587.6049454818,3284070.619945478,3176577.4124454777,3329577.989445487,3004355.4089454855,2879813.602445484
2025-09-06,3260356.947025616,2970191.1005256185,3107672.4105256153,3017435.9430256197,3218487.8515256154,3202819.013025616,3022720.435025616,2993173.227025615,3175178.500525616,3002399.9280256135
2025-09-07,2886676.804519175,3116813.283519175,2894472.9555191738,2955589.872519179,2734438.9025191744,3048275.4915191736,2937023.975519173,3178682.0535191745,2995041.6345191733,3006965.649519177
2025-09-08,2919153.3066535643,2808556.252653556,3259739.701653559,2965465.1426535584,3182558.8861535606,3039085.1231535594,3122909.307653561,2835682.131153557,2943773.9991535563,2964784.0996535625
2025-09-09,3205915.535909582,3109105.8654095833,3214132.7024095817,2814518.491909586,3295224.1309095803,3047329.4074095828,2871334.6694095903,2999985.608409583,3076881.574909594,3011497.606909585
2025-09-10,3152034.717424655,3015449.236924653,2974622.1724246526,3176274.673924652,2920934.9569246606,2977537.2444246593,3042549.2779246545,2985227.5399246537,3079272.741924655,2776553.2934246534
2025-09-11,3051335.26424712,3125009.5922471196,3134518.9697471187,2991273.859747125,2931113.3242471213,3129542.8922471195,3182757.854747124,3180468.183247125,2993195.542747121,3188848.7792471237
2025-09-12,3129774.2827825393,2915869.607282535,3089470.2412825376,3166607.755282536,2908073.4562825365,2909996.841282532,3136534.425782535,3211844.2917825347,3003780.438282536,3188400.4102825364
2025-09-13,3038820.3023252077,2712621.77032521,3121698.339325212,2921221.738825211,3111767.6398252044,3173992.1043252116,3100763.435325208,3100763.435325208,2988534.89282521,3161990.840825204
2025-09-14,2985397.2192052067,2908594.3267052034,3067741.2222052095,3068461.2947052056,3146986.800705212,2917772.208205204,3018336.386205209,2974231.2382052043,3231988.955705206,2705183.449205206
2025-09-15,3179531.161132736,3039396.963632735,3050558.2551327343,3025244.1181327347,2796210.1991327344,3116531.9416327355,3082110.565632741,2961764.959632737,2926441.9951327336,2958790.110132735
