date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-03-31,3396581.5278999987,3250504.6917410973,3396277.9254910946,3535185.755041094
2025-04-01,3410293.7775032897,3262347.5388443875,3417466.7735943855,3559233.1263443884
2025-04-02,3417895.8834673977,3257031.493808497,3427479.620558494,3567031.683208496
2025-04-03,3427146.346082126,3246431.876423219,3429946.9891732214,3565324.583873221
2025-04-04,3504291.0105846594,3311808.752725759,3503689.2059257543,3652866.970425757
2025-04-05,3486087.106981847,3342993.644472943,3492823.350072946,3625774.657322943
2025-04-06,3408516.5702126008,3261259.4498536983,3418100.307303697,3567743.8034536964
2025-04-07,3450490.508796234,3306424.8666373305,3466592.9326373274,3599092.806837332
2025-04-08,3423749.5042742467,3295703.8788153403,3427062.1493653394,3575770.6398653397
2025-04-09,3474243.410823838,3334646.786664934,3487418.500164932,3641935.4413149375
2025-04-10,3401569.6296575335,3242515.1354986266,3405766.93274863,3559310.203748629
2025-04-11,3413626.624127264,3213417.312218359,3408873.3699683594,3562202.583968362
2025-04-12,3390784.4183445224,3226900.5438356213,3400882.7816856178,3558295.518885619
2025-04-13,3373812.085314459,3234112.8516055555,3380548.328405558,3533127.3982055536
2025-04-14,3410602.2421504133,3252367.350491509,3418687.6734915096,3546571.02489151
2025-04-15,3377341.128036648,3219553.6808277443,3371798.494127741,3544945.0788777485
2025-04-16,3461045.035481373,3312766.0194224706,3444225.3955724677,3609647.3335224707
2025-04-17,3480177.3306065723,3257992.3025976685,3478031.607947667,3641492.0340476646
2025-04-18,3346133.5845446577,3192364.5797857535,3360350.1936357524,3495242.756135756
2025-04-19,3516136.999751983,3294229.238593079,3520316.278593079,3666800.9142930782
2025-04-20,3523898.2636623303,3346790.578203422,3544637.178253426,3667675.1248534257
2025-04-21,3517563.3058482213,3364056.335589317,3506347.262689322,3654370.649639321
2025-04-22,3511513.746915617,3336961.096656716,3529346.0222567124,3663019.8857567096
2025-04-23,3503134.6125127412,3328581.96225384,3494996.748853835,3641738.8396538366
2025-04-24,3448745.38923411,3272752.3231752096,3456830.820575206,3628617.7016752013
2025-04-25,3445402.040708903,3286539.885049996,3451099.384050001,3577027.545549996
2025-04-26,3433998.8714547935,3307278.8780458905,3443886.2897958914,3584902.7292958884
2025-04-27,3432275.6912733535,3271411.301614453,3437733.3673644485,3583176.93956445
2025-04-28,3382132.1154847927,3207579.4652258917,3397296.1888258853,3533033.0738258897
2025-04-29,3363665.7297320566,3205238.4995731525,3366231.8400731524,3495051.208623153
